Code du département,Libellé du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe.0,Nom.0,Prénom.0,Parti.0,Voix.0,% Voix/Ins.0,% Voix/Exp.0,Sexe.1,Nom.1,Prénom.1,Parti.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
1,AIN,415950,93130,22.39,322820,77.61,28852,6.94,8.94,8738,2.1,2.71,285230,68.57,88.36,M,MACRON,Emmanuel,LREM,173809,41.79,60.94,F,LE PEN,Marine,FN,111421,26.79,39.06
3,ALLIER,253479,59294,23.39,194185,76.61,18877,7.45,9.72,8522,3.36,4.39,166786,65.8,85.89,M,MACRON,Emmanuel,LREM,106579,42.05,63.9,F,LE PEN,Marine,FN,60207,23.75,36.1
7,ARDECHE,249216,54487,21.86,194729,78.14,19800,7.94,10.17,7221,2.9,3.71,167708,67.29,86.12,M,MACRON,Emmanuel,LREM,104599,41.97,62.37,F,LE PEN,Marine,FN,63109,25.32,37.63
15,CANTAL,117394,25279,21.53,92115,78.47,9039,7.7,9.81,3727,3.17,4.05,79349,67.59,86.14,M,MACRON,Emmanuel,LREM,55411,47.2,69.83,F,LE PEN,Marine,FN,23938,20.39,30.17
26,DROME,369462,82109,22.22,287353,77.78,26411,7.15,9.19,8638,2.34,3.01,252304,68.29,87.8,M,MACRON,Emmanuel,LREM,157992,42.76,62.62,F,LE PEN,Marine,FN,94312,25.53,37.38
38,ISERE,856330,202643,23.66,653687,76.34,56622,6.61,8.66,14771,1.72,2.26,582294,68.0,89.08,M,MACRON,Emmanuel,LREM,383197,44.75,65.81,F,LE PEN,Marine,FN,199097,23.25,34.19
42,LOIRE,510903,123362,24.15,387541,75.85,34501,6.75,8.9,10723,2.1,2.77,342317,67.0,88.33,M,MACRON,Emmanuel,LREM,218603,42.79,63.86,F,LE PEN,Marine,FN,123714,24.21,36.14
43,HAUTE LOIRE,177116,37641,21.25,139475,78.75,14104,7.96,10.11,5026,2.84,3.6,120345,67.95,86.28,M,MACRON,Emmanuel,LREM,76233,43.04,63.35,F,LE PEN,Marine,FN,44112,24.91,36.65
63,PUY DE DOME,460919,105034,22.79,355885,77.21,34639,7.52,9.73,13654,2.96,3.84,307592,66.73,86.43,M,MACRON,Emmanuel,LREM,219437,47.61,71.34,F,LE PEN,Marine,FN,88155,19.13,28.66
69,RHONE,1155506,289848,25.08,865658,74.92,69066,5.98,7.98,19260,1.67,2.22,777332,67.27,89.8,M,MACRON,Emmanuel,LREM,572015,49.5,73.59,F,LE PEN,Marine,FN,205317,17.77,26.41
73,SAVOIE,310179,72291,23.31,237888,76.69,22324,7.2,9.38,6848,2.21,2.88,208716,67.29,87.74,M,MACRON,Emmanuel,LREM,135118,43.56,64.74,F,LE PEN,Marine,FN,73598,23.73,35.26
74,HAUTE SAVOIE,538007,127636,23.72,410371,76.28,37350,6.94,9.1,10077,1.87,2.46,362944,67.46,88.44,M,MACRON,Emmanuel,LREM,249198,46.32,68.66,F,LE PEN,Marine,FN,113746,21.14,31.34
